date,PRCP_Illinois,PRCP_Indiana,PRCP_Nebraska,PRCP_Ohio,PRCP_Iowa,Season,Year,Month
2000-04-27,1.0111111111111108,0.1111111111111111,0.6833333333333332,0.0,1.94,Spring,2000,4
2000-04-28,0.475,0.0,0.0,0.0,0.92,Spring,2000,4
2000-04-29,2.7555555555555564,0.05555555555555555,0.0,0.0,0.38,Spring,2000,4
2000-04-30,0.0,0.0,15.400000000000004,0.0,0.0,Spring,2000,4
2000-05-01,0.7625,4.422222222222222,5.466666666666666,2.311111111111112,0.39,Spring,2000,5
2000-05-02,2.05,8.399999999999999,0.0,19.433333333333334,0.38,Spring,2000,5
2000-05-03,0.375,0.8777777777777778,0.0,0.0,0.0,Spring,2000,5
2000-05-04,0.0,3.0444444444444443,0.0,0.2222222222222222,0.0,Spring,2000,5
2000-05-05,3.1375,0.5333333333333333,0.0,0.8222222222222222,0.0,Spring,2000,5
2000-05-06,1.9444444444444444,1.4444444444444444,0.0,0.0,0.0,Spring,2000,5
2000-05-07,5.175,1.1,9.066666666666666,0.0,1.52,Spring,2000,5
2000-05-08,1.9375,0.7666666666666666,4.300000000000002,0.7111111111111109,3.2299999999999995,Spring,2000,5
2000-05-09,10.475,7.2555555555555555,0.13333333333333333,0.0,5.0299999999999985,Spring,2000,5
2000-05-10,14.2625,15.0,0.0,7.633333333333334,10.74,Spring,2000,5
2000-05-11,0.0,0.5111111111111111,0.05,0.4555555555555555,1.6799999999999995,Spring,2000,5
2000-05-12,3.3125,2.9555555555555566,0.1,0.1111111111111111,2.08,Spring,2000,5
2000-05-13,1.25,9.5,0.0,2.825,0.08,Spring,2000,5
2000-05-14,0.0,0.0,0.0,1.9,0.0,Spring,2000,5
2000-05-15,0.0,0.0,0.0,0.0,0.28,Spring,2000,5
2000-05-16,0.625,0.2,0.05,0.05555555555555555,1.48,Spring,2000,5
2000-05-17,1.9125,1.666666666666667,6.15,1.1222222222222225,0.8899999999999999,Spring,2000,5
2000-05-18,4.725,6.244444444444442,41.23333333333333,2.833333333333333,11.44,Spring,2000,5
2000-05-19,11.1625,11.68888888888889,0.13333333333333333,26.08888888888889,7.95,Spring,2000,5
2000-05-20,0.0375,0.30000000000000004,0.4666666666666666,3.533333333333333,0.0,Spring,2000,5
2000-05-21,0.0,0.08888888888888889,1.0166666666666666,0.05555555555555555,1.4700000000000002,Spring,2000,5
2000-05-22,1.2875,1.8333333333333333,0.0,0.0,0.36,Spring,2000,5
2000-05-23,7.025,4.533333333333334,0.0,4.688888888888886,1.2000000000000002,Spring,2000,5
2000-05-24,6.475,0.3666666666666665,0.05,13.81111111111111,0.03,Spring,2000,5
2000-05-25,1.2125,0.2222222222222222,0.05,1.4111111111111108,0.0,Spring,2000,5
2000-05-26,2.25,6.977777777777778,8.049999999999999,0.03333333333333333,6.25,Spring,2000,5
2000-05-27,21.65,12.677777777777779,10.983333333333333,1.5222222222222217,19.51,Spring,2000,5
2000-05-28,4.3500000000000005,12.199999999999998,0.0,14.522222222222226,0.65,Spring,2000,5
